1   -2.000000000000000e+00    4.000000000000000e+00
1   -2.000000000000000e+00   -1.625000000000000e+00
8    6.250000000000000e-01    1.000000000000000e+00
13    2.500000000000000e+00    2.875000000000000e+00
10    1.375000000000000e+00    1.750000000000000e+00
2   -1.625000000000000e+00   -1.250000000000000e+00
7    2.500000000000000e-01    6.250000000000000e-01
3   -1.250000000000000e+00   -8.750000000000000e-01
4   -8.750000000000000e-01   -5.000000000000000e-01
14    2.875000000000000e+00    3.250000000000000e+00
12    2.125000000000000e+00    2.500000000000000e+00
16    3.625000000000000e+00    4.000000000000000e+00
6   -1.250000000000000e-01    2.500000000000000e-01
15    3.250000000000000e+00    3.625000000000000e+00
11    1.750000000000000e+00    2.125000000000000e+00
5   -5.000000000000000e-01   -1.250000000000000e-01
9    1.000000000000000e+00    1.375000000000000e+00
1   -2.000000000000000e+00   -1.976562500000000e+00
5   -1.906250000000000e+00   -1.882812500000000e+00
7   -1.859375000000000e+00   -1.835937500000000e+00
12   -1.742187500000000e+00   -1.718750000000000e+00
16   -1.648437500000000e+00   -1.625000000000000e+00
4    6.953125000000000e-01    7.187500000000000e-01
4   -1.929687500000000e+00   -1.906250000000000e+00
8   -1.835937500000000e+00   -1.812500000000000e+00
5   -1.531250000000000e+00   -1.507812500000000e+00
14   -1.695312500000000e+00   -1.671875000000000e+00
11   -1.765625000000000e+00   -1.742187500000000e+00
10   -1.789062500000000e+00   -1.765625000000000e+00
2   -1.976562500000000e+00   -1.953125000000000e+00
9   -1.812500000000000e+00   -1.789062500000000e+00
6   -1.882812500000000e+00   -1.859375000000000e+00
5    2.593750000000000e+00    2.617187500000000e+00
7    1.515625000000000e+00    1.539062500000000e+00
3   -1.953125000000000e+00   -1.929687500000000e+00
13   -1.718750000000000e+00   -1.695312500000000e+00
15   -1.671875000000000e+00   -1.648437500000000e+00
1    6.250000000000000e-01    6.484375000000000e-01
15    9.531250000000000e-01    9.765625000000000e-01
2    3.648437500000000e+00    3.671875000000000e+00
5    3.718750000000000e+00    3.742187500000000e+00
13    9.062500000000000e-01    9.296875000000000e-01
3    1.046875000000000e+00    1.070312500000000e+00
12    1.257812500000000e+00    1.281250000000000e+00
3    6.718750000000000e-01    6.953125000000000e-01
2    1.023437500000000e+00    1.046875000000000e+00
5    7.187500000000000e-01    7.421875000000000e-01
5    1.093750000000000e+00    1.117187500000000e+00
11    8.593750000000000e-01    8.828125000000000e-01
7    7.656250000000000e-01    7.890625000000000e-01
9    8.125000000000000e-01    8.359375000000000e-01
2    6.484375000000000e-01    6.718750000000000e-01
6    7.421875000000000e-01    7.656250000000000e-01
8    7.890625000000000e-01    8.125000000000000e-01
14    9.296875000000000e-01    9.531250000000000e-01
12    8.828125000000000e-01    9.062500000000000e-01
1   -1.625000000000000e+00   -1.601562500000000e+00
10    8.359375000000000e-01    8.593750000000000e-01
10   -1.414062500000000e+00   -1.390625000000000e+00
15   -1.296875000000000e+00   -1.273437500000000e+00
